TagValue_UID,TagValue_Number,TagValue_Service Name,TagNotes_Service Definition,TagNotes_Service Description,TagValue_JCA Alignment,TagNotes_JCSFL Alignment,TagValue_JARM/ESL Alignment,TagNotes_Comments
58,3.4,"Analysis, Prediction and Production","The Analysis, Prediction & Production line includes services that provide the ability to integrate, evaluate, interpret, and predict knowledge and information from available sources to develop intelligence and forecast the future state to enable situational awareness and provide actionable information.","The Analysis, Prediction & Production line includes services that provide the ability to integrate, evaluate, interpret, and predict knowledge and information from available sources to develop intelligence and forecast the future state to enable situational awareness and provide actionable information.  This includes the following sub-areas: Integration – The ability to identify, assimilate and correlate relevant information from single or multiple sources.  Evaluation – The ability to provide focused examination of the information and assess its reliability and credibility to a stated degree of confidence.  Interpretation – The ability to derive knowledge and develop new insight from gathered information to postulate its significance.  Prediction – The ability to describe the anticipated future state of the operational/physical environment based on the depiction of past and current information.  Product Generation – The ability to develop and tailor intelligence, information, and environmental content and products per customer requirements.  (Ref. Joint Service Areas, JCA 2010 Refinement, 8 April 2011)
Families in this line: GEOINT ANALYSIS, SIGINT ANALYSIS, HUMINT ANALYSIS, MASINT/AGI ANALYSIS, and TARGETING SUPPORT.",Line,Line,Line,Line
347,3.3.6.7,BDA/CDA,"This component performs Battle Damage Assessment (BDA) analysis. BDA is the estimate of damage resulting from the application of lethal or nonlethal military force. BDA is composed of physical damage assessment, functional damage assessment, and target system assessment.  

GCCS Spec/USMTF message",N/A,2.4.5 Product Generation (AP),"7.2.8 Transmit Tasking and Target Data to Battle Damage Assessment (BDA) Assets
7.2.51 Transmit Battle Damage Assessment (BDA) Report",8.15.06 Target Planning,None
346,3.3.6.6,Target Mensuration,"Target Mensuration services provide the measurement of a feature or location on the earth to determine an absolute latitude, longitude, and height.",N/A,2.4.5 Product Generation (AP),14.1.23 Perform Imagery Coordinate Mensuration,8.15.06 Target Planning,None
86,3.3.6.5,Target List,The Target List service maintains the various target lists that are kept as part of the target strike management process.,"The Target List service provides methods to retrieve a prioritized list of target lists by type; query for an existing list by name; create or remove target lists;  and add, remove, or edit targets in existing target lists.  Targets can also be transferred from one target list to another list type in accordance with the target management process.

Examples of target list types include: 1) the Joint Integrated Prioritized Target List (JIPTL) which are targets prioritized to be struck; 2) the Air Tasking Order (ATO); 3) on-call targets; 4) no-strike targets; 5) nominated targets; and 6) targets scheduled for battle damage assessment (BDA).",2.4.5 Product Generation (AP),4.7.2  Manage Target List,8.15.06 Target Planning,None
85,3.3.6.4,Target Folder,The Target Folder service maintains a softcopy folder containing target intelligence and related materials prepared for planning and executing action against a specific target.,"The Target Folder service maintains a collection of information related to the planning and execution of a strike against a target.  The target folder service serves as a portal for displaying and retrieving data and information that has been placed in the folder.  It also enables analysts to add their inputs or new data to the folder. 

Examples of information maintained in a target folder are georegistered target images, lists of designated mean impact points (DMPI) that have been extracted from image data, collateral information about the target's activities and known functions, or no-strike information (such as the location of a place of worship or a civilian shelter within the target complex).",2.4.5 Product Generation (AP),14.1.34 Publish Target Model,8.15.06 Target Planning,None
84,3.3.6.3,Target Validation,"Target Validation portrays and locates target services, indicates target vulnerabilities, and maintains relative target importance.","Target Validation maintains information about targets that is used to maintenance the target data matrix and provide input to other target support services by presenting and locates known functions and vulnerabilities of a target or target complex including current operational status of targets.  It also provides information that helps establish the strike prioritization of a target.

For example, a target may have been serving as a command and control communications hub in prior weeks but may have recently been restored to some more benign function, making it undesirable as a high priority target.  The service also may denote no-strike regions in a target complex if the target has multiple functions and if certain of those functions are best preserved.",2.4.3 Interpretation (AP),(gap),8.15.06 Target Planning,None
83,3.3.6.2,Target Data Matrix,Target Data Matrix provides the current status of targets within a given area of responsibility (AOR).,"Target Data Matrix displays the status of targets as they progress from target nomination lists to target battle damage assessment lists.  It also generates reports on current target status (i.e. destroyed, recently nominated, current operational status, scheduled for strike, etc. ) within an Area of Responsibility (AOR).   Both these operations are important for managing targeting operations during joint strike operations.

To perform these operations Target Data Matrix uses target lists and target folders.",2.4.5 Product Generation (AP),"2.1.39  Acquire and Track Target
3.4.1  Display Automatic Target Recognition (ATR)",8.15.06 Target Planning,None
82,3.3.6.1,Target Management,"Target Management compiles and reports target information and provides a dissemination service for filtering, combining, and passing that information to higher, adjacent, and subordinate commanders.","Target Management provides querying and reporting on target locations, battle damage assessments (BDA), weapon target pairing, and other related topics using target lists, the joint target matrix, and other related target files.  Reports can be customized, filtered and/or summarized as they are disseminated upward and downward through the chain of command.",2.4.5 Product Generation (AP),"7.2.9 Transmit Tasking and Target Data
14.1.31 Maintain Target Model Library
14.1.32 Retrieve Target Model
14.1.33 Distribute Target Model",8.15.06 Target Planning,None
57,3.3.5,MASINT Processing,"MASINT Processing services perform qualitative analysis of data (metric, angle, spatial, wavelength, time dependence, modulation, plasma, and hydro magnetic) derived from specific technical sensors for the purpose of identifying any distinctive features associated with the source, emitter, or sender and to facilitate subsequent identification and/or measurement of the same.","MASINT processing services include specialized SAR image formation algorithms needed to assist in the creation of SAR MASINT products.  In particular, SAR MASINT often makes use of SAR complex image pairs to form interferometric products such as coherent change detection (CCD) or elevation change detection products.  In order for SAR complex images to be suitable for this sort of use they need to be formed in such a manner that they share near identical apertures in frequency space.  A MASINT processing service is often invoked to do SAR complex image pair formation in such a manner that a common frequency aperture is employed.

Special condition image formation is only one example of a SAR MASINT processing service.  Other SAR MASINT processing of a different type is crucial to producing other types of SAR MASINT products.

Similarly, MASINT processing services are used to generate certain hyperspectral MASINT products from raw hyperspectral collections.  Examples include specialized methods of compensating for atmospherics as an initial step in material signature detection processing, etc.  Yet other MASINT processing services are involved in thermal infrared MASINT product formation.",family,14.1.3 Produce Measurement and Signature Intelligence (MASINT) Data,family,family
56,3.3.4.1,Language Translation,Language Translation renders the meaning within a file from a source language and provides an equivalent version of that file in a user selected target second language.,"Language Translation takes text, a document, or a URL as input along with a specification of the original and destination language.  It then translates the material into the destination language.",2.3.1 Data Transformation (PE),7.1.50 Translate Foreign Languages,(gap),None
345,3.3.4,Data Exploitation,"The family of services to exploit data sources, to include language translation.",N/A,family,family,family,family
344,3.3.3.1,Source Management,"The service that supports identification, coordination, and protection of HUMINT resources.",N/A,5.2.2 Develop Knowledge and Situational Awareness,"14.1.14 Manage Human Intelligence (HUMINT) Dossier
14.1.15 Manage Human Intelligence (HUMINT) Sources",(gap),None
55,3.3.3,CI/HUMINT Processing,CI/HUMINT Processing provides the intelligence derived from the collection discipline in which the human being is the primary collection instrument and can be both a source and collector.,"CI/HUMINT Processing involves primarily document language translation and automatic extraction of document metadata (e.g. place names, people, organizations, times, and key actions or relationships). 

It also encompasses services that mine the internet or other repositories for documents pertaining to selected topics (though this service also falls under OSINT when the repository is in the public domain).  This latter service type is the equivalent of an automatic ""clipping service"".  Similarly, specialized RSS feeds could be considered CI/HUMINT processing services.",family,family,family,family
54,3.3.2.1,Signal Pattern Recognition,Signal Pattern Recognition provides signal pattern recognition in order to detect signal characteristics that tell analysts information about the emitting source.,"Signal Pattern Recognition characterizes a signal based on key signal parameter values and then accesses a database of signal patterns to determine if they match known signal characteristics.   When matches are found, the signal is labeled as belonging to a specific type, piece, or mode of equipment or might indicate transmission protocols.

Signal characteristics might include signal carrier radio frequency, bandwidth, pulse duration(s) and repetition interval(s), dwell or scanning time, polarization, or pulse envelope characteristics (pulse rise and fall times, shape characteristics (e.g. linear chirp or triangular shaped pulse), frequency or phase modulation, and time bandwidth products).",2.3.2 Information Categorization (PE),"1.1.1 Receive and Process Signals
1.1.25 Pre-Process Sensor Data
14.1.1 Produce Signals Intelligence (SIGINT) Data
14.1.29 Validate Processed Sensor Data",8.15.02 Signals Processing,The NeXTmidas tools are at http://nextmidas.techma.com/
51,3.3.2,SIGINT Processing,SIGINT Processing services provide processing of raw signals data to form basic SIGINT products.,"SIGINT processing includes services used to filter, screen, resample, and automatically detect certain basic signal patterns for the purpose of characterizing raw input signals and assigning metadata, prior to exploitation.  This includes application of Fast Fourier Transform (FFT) processing and filters that are applied to the resulting frequency domain products.  SIGINT processing can also include specific convolution and noise reduction services used to clean up raw collected signal.

Another aspect of SIGINT processing involves very high volume data ingest services, data formatting, automatic dissemination of select snippets of processed SIGINT data, and certain types of near real time collection command and control.",family,family,family,family
362,3.3.1.5,Image Chipping,Image Chipping Service creates user-defined full resolution chip from NITF (National Imagery Transmission Format) image.,"Image Chipping Service allows users to create an image chip from a larger image.  Imagery chips are full resolution ""What You See Is What You Get"" (WYSIWYG) from the current image view.  Users can select square/rectangle around an area of a detailed overview of an image, to create a chip, or smaller piece of the larger image.  
This service is needed to reduce the size of the image file and to reduce the image to just the area relevant to the work it will be used for.  Reducing the size of the file decreases the demand on the system and the network communications.  Reducing the image to eliminate unneeded portions of the image simplifies the task for the image analyst.",2.3.1 Data Transformation (PE),14.1.7 Manage Images,8.15.01 GEOINT Processing,None
50,3.3.1.4,State Service,State Service converts image support data into a related sensor model state string.,State Service extracts the image support data from a file and creates a sensor model state string.   Note: this sensor model state string is a necessary input for National Geospatial-Intelligence Agency (NGA) Common Geospatial Services (CGS).,2.3.1 Data Transformation (PE),(gap),8.15.01 GEOINT Processing,None
208,3.3.1.3,AOI Processing,"AOI Processing enables utilities for adding, deleting and updating persisted user based geometrical areas of interest (AOI). This allows a user to create and manage an AOI (geometrical based).

Ref: GCCS-i3 (SOAP based )",None,2.3.1 Data Transformation (PE),(gap),8.15.01 GEOINT Processing,Need more info on this one.  Is it just something associated with NGA CGS?
49,3.3.1.2,FMV Geoprocessing,FMV Processing georegisters a stream of video frames in real time..,"FMV georegistration is a real time processing service that takes a video stream and georegisters every frame.  The result is a continuous stream of video frames georegistered to an underlying digital elevation map and reference imagery or to Digital Point Positioning Data Base (DPPDB) reference products.  Any frame in the video stream can be used for precision targeting or other precision position extraction applications.  

The frames are also crudely mosaicked (i.e. they are all correctly geopositioned but may still have visible ""seams"" from small scene intensity changes during the collection).  These visible seams can be removed by a subsequent FMV mosaicking process that blends image intensities across frame boundaries.

The FMV georegistration service ingests a stream of FMV frames and either reference imagery with associated reference DEMs or reference DPPDB.  If the quality of the FMV collection metadata is poor (such as is common from small UAVs or mini UAVs), the FMV georegistration service can optionally ingest point correspondences between the 1st frame in the FMV stream and the reference imagery in order to initiate the georegistration process.

Once the process starts, the service updates the FMV collection metadata for every frame based on a Kalman filter estimation of sensor position and attitude that is augmented by periodic automatic extractions of matching point correspondences between selected frames and the reference imagery.",2.3.1 Data Transformation (PE),14.1.5 Collect and Process Video Sensor Data,7.03.08 Video Processing Services,None
48,3.3.1.1,Image Rectification,Image Rectification provides transformations to project two or more images onto a common image or geocoordinate plane.,"Rectification is a process of geometrically correcting an image so that it can be represented on a planar surface with a standard coordinate system.  This is often done to make an image geometrically conform to other images acquired from other perspectives.  This supports applications such as image/video mosaicking (combining multiple photographic images with overlapping fields of view to produce a larger, apparently seamless image), change detection, and multisensor data fusion.

It is also done to make an image or multiple images conform to a map, often for geographic information system (GIS) purposes. A common method for this service is to associate geolocations with pixels on an image.  The image pixels are then resampled to place them in into a common map coordinate system. 

Another important application in which a rectification service gets used is in performing an epipolar rectification to ensure that corresponding match points in a pair of stereo images are displaced only along a single axis.  This enables easier matching and analysis of corresponding points in stereo image pairs by reducing the pixel stereo offsets to lie entirely along a single preferred axis (the epipolar axis).

The Image rectification Service ingests at a minimum an image, and a description of the planar surface to be used in the rectification process.  In some instances, such as for epipolar rectification, the target planar surface is described entirely by a second image in a stereo pair.  Automatic point correspondence matching establishes the required rectification transformation.  In other instances, such as orthorectification, it is common to supply either a reference image and a corresponding digital elevation map (DEM) or a reference image pair such as is found in a Digital Point Positioning Data Base (DPPDB). The DEM is used in performing the rectification transformation to minimize unsightly image artifacts that can affect a rectification done on perspective images in cases where no information about underlying terrain is supplied.  The simplest input to a rectification service is an input image to be rectified with image support data and a specification of a horizontal plane surface.",2.3.1 Data Transformation (PE),"1.1.22 Register Images
8.4.21 Process Imagery
14.1.8  Rectify Image
14.1.22  Correlate Image",7.03.04 Imagery Processing Services,"Can be provided as an app, a war file, and a library"
47,3.3.1,GEOINT Processing,GEOINT Processing provides processing of raw imagery and geospatial data to form basic GEOINT products.,"The GeoINT processing family provides processing of imagery and  raw geospatial data to form basic GEOINT products.  Examples include forming images from raw source data, image format conversions, image compression,  basic video processing such as mosaicking, etc.",family,family,family,family
46,3.3,Processing and Exploitation,The Processing/Exploitation line includes services that provide the ability to transform collected information into forms suitable for further analysis and/or action by man or machine.,"The Processing/Exploitation line includes services that provide the ability to transform collected information into forms suitable for further analysis and/or action by man or machine.  This includes the following sub-areas: Data Transformation – The ability to select, focus, simplify, tag and transform overtly or covertly collected data into human or machine interpretable form for further analysis or other action.  Information Categorization – The ability to identify, classify and verify information associated with time sensitive objectives enabling further analysis or action.  (Ref. Joint Service Areas, JCA 2010 Refinement, 8 April 2011)
Families in this line: GEOINT PROCESSING, SIGINT PROCESSING, CI/HUMINT PROCESSING, and MASINT PROCESSING.",Line,Line,Line,Line
364,3.1.6.2,Sensor Planning,Sensor Planning Service provides an interface for determining the capabilities and tasking of SPS-registered DI2E sensors.,"The Sensor Planning Service (SPS) provides a standardized interface for interoperable sensor tasking.  The SPS provides the client support for determining the capabilities of the sensor system, identifying the feasibility of a tasking request, accepting commands to task the sensor, tracking the status of sensor commands, and provide a reference to the observation data following the completion of a successful task.  All of which combine to obtain varying stages of planning, scheduling, tasking, collection, processing, archiving, and distribution of resulting observation data and information that is the result of a request.",2.1.3 Task and Monitor Resources (P&D),"1.4.7   Generate National Intelligence, Surveillance, and Reconnaissance (ISR) Sensor Tasking
1.4.10   Generate Sensor Coverage",(gap),None
39,3.1.6.1,Sensor Observation,Sensor Observation provides Observation data and Sensor descriptions for SOS-registered DI2E sensors.,"The Sensor Observation Service (SOS) provides a standardized interface for managing and retrieving metadata and observations from heterogeneous sensor systems.  It enables discovery and retrieval of real time or archived sensor descriptions, observations, and features of interest.  It allows the client to insert and delete sensor data.  The SOS also supports the functionality to list the capabilities of all registered sensors.  

[This service is supported by the OGC SWE SOS 2.0 specification.]",2.1.3 Task and Monitor Resources (P&D),"1.4.17  Determine Time to Sensor Availability
1.4.18  Identify Elapsing Platform and Sensor Tasking",(gap),OGC SOS Spec
363,3.1.6,Sensor Web Enablement,The Sensor Web Enablement (SWE) family of services provides  observation data and sensor descriptions and well as an  interface for tasking of SPS-registered DI2E sensors.,"The Sensor Web Enablement (SWE) family of services provides  a standardized interface for managing and retrieving metadata and observations from heterogeneous sensor systems including discovery and retrieval of real time or archived sensor descriptions, observations, and features of interest.    They also provide a standardized interface for interoperable sensor tasking, sensor capabilities determination, tasking feasibility assessment, tasking request, sensor command tracking, and observation data following the completion of a successful task.",2.1.3 Task and Monitor Resources (P&D),"1.4.35 Identify Current Platform and Sensor Tasking
1.4.33 Respond to Satellite Access Authorization
1.4.34 Conduct Sensor Registration and Calibration
1.4.20 Determine Platform and Sensor Status",family,OGC SWE spec
339,3.1.5.2,Task Asset Request,"Task Asset Request provides collection and sensor deployment plans.   Changes to these plans are sent to the sensor/platform through this interface. 

Ref. DCGS-Army chicklit definition",Task Asset Request serves as the interface that all services use to send sensor messages to the Sensor Provisioning service.,2.1.3 Task and Monitor Resources (P&D),"1.4.15 Process Source Requirements
1.4.16 Determine Availability of Joint Intelligence, Surveillance, and Reconnaissance (JISR) Capabilities
1.4.17 Determine Time to Sensor Availability
1.4.18 Identify Elapsing Platform and Sensor Tasking
1.4.19 Direct and Monitor Sensor Employment
3.5.17 Process Asset Specific Information Query",8.15.04 Intelligence Asset Tasking,None
42,3.1.5.1,Tasking Message Preparation,Tasking Message Preparation formats the tasking information of the Collection Requirements Planning service for dissemination.,"Tasking Message Preparation allows client to request reformatting of the collection requirement and tasking assignments into a distributable format based on a specified day, sensor group, asset, or requirement set.",2.1.3 Task and Monitor Resources (P&D),"1.4.9 Generate Theater and External Intelligence, Surveillance, and Reconnaissance (ISR) Sensor Tasking
1.4.14 Generate Sensor Configuration Commands",8.15.04 Intelligence Asset Tasking,None
338,3.1.5,Tasking Request,The family of services that support tasking requests,N/A,family,family,family,family
105,3.1.4.2,Asset Discovery,"Asset Discovery publishes and finds information on DI2E connected devices such as  sensors, network hosted IT equipment, and weapons systems.","Asset Discovery services maintain a repository of potentially available DI2E assets. Operations typically include Create, Read, Update, Delete (CRUD) type operations on the asset repository database(s) (with appropriate permissions) as well as operations for asset search and asset search results reporting.   Examples of typical asset information might include the asset name, location, operational status, various service descriptors, or anticipated shut down dates (many other fields of data are possible). One example of use is a  analyst might use this service within an application that provides intelligence on the assets that might be available to be tasked due to its services and current geographical location.",6.3.1.1 Network Resource Visibility,"1.3 Perform Detection (Group)
1.4.22 Calculate Sensor Error or Uncertainty
3.5.14  Confirm Asset or Sensor Availability
3.5.16  Identify and Catalog Joint Assets and Activities
3.5.17  Process Asset Specific Information Query
5.4.5  Determine Operational and Tactical Assets
8.1.78 - Query Global Directory Service 
8.7.53  Access Subject Matter Expert and Essential Information
8.7.55  Establish Discovery Catalogs
8.9.7  Manage Enterprise Information Assets",(gap),None
44,3.1.4.1,Asset Status Summary,Asset Status Summary provides aggregated asset status metadata (including sensors and sets of sensors) across the enterprise.,"Asset Status Summary allows the client to query the status of a specific sensor, a set of sensors, or all sensors across the enterprise.    Results of status summary queries enable reporting of actively monitored assets across the ISR spectrum, regardless of source.",2.1.3 Task and Monitor Resources (P&D),"1.4.16Determine Availability of Joint Intelligence, Surveillance, and Reconnaissance (JISR) Capabilities",(gap),None
337,3.1.4,Asset Reporting,"The Asset Reporting family provides services that support discovery, status, and the tasks assigned to intelligence assets.",N/A,family,family,family,family
335,3.1.3.5,Target Planning,"Target Planning is the systematic examination of potential target systems-and their components, individual targets, and even elements of targets-to determine the necessary type and duration of the action that must be exerted on each target to create an effect that is consistent with the commander's specific objectives. (JP 1-02. SOURCE: JP 3-60)
","Target Planning services support the Target Development process by enabling target system analysis; entity-level target development; and target list management (TLM). 
 
Target Development is defined as: The systematic examination of potential target systems-and their components, individual targets, and even elements of targets-to determine the necessary type and duration of the action that must be exerted on each target to create an effect that is consistent with the commander's specific objectives. (JP 1-02. SOURCE: JP 3-60)",2.1.3 Task and Monitor Resources (P&D),4.7 Analyze Targets (Group),(gap),None
43,3.1.3.4,Exploitation Planning,Exploitation Planning tracks analyst skills and availabilities to identify who will do the sensor output analysis and assigns it to them.,"Exploitation Planning allows Analyst Managers to view, create, update, or delete information about a specific analyst.  Analyst Taskers can view, create, update, or delete tasks associated with specific analyst.     Completed, outstanding, or in-work tasks can be viewed by analyst, unit of time (day, week, etc.), or collection requirement.     Assignment Generators evaluate necessary skills, determine appropriate analysts with available time, and assign tasks to the best fitting analyst(s).",2.1.2 Develop Strategies (P&D),"1.4.25 Correlate Joint Intelligence, Surveillance, and Reconnaissance (JISR) Resources
1.4.26 Manage Joint Intelligence, Surveillance, and Reconnaissance (JISR) Resources
1.4.31 Process Intelligence, Surveillance, and Reconnaissance (ISR) Support Requests",Not Mapped,None
334,3.1.3.3,Intelligence Source Selection,"Intelligence Source Selection services support the review of mission requirements for sensor and target range, system responsiveness, timelines, threat, weather, and reporting requirements.   to identify and determine asset and/or resource availability and capability.  Source selection applies to all types of collection sources (i.e. GEOINT, HUMINT, SIGINT, etc.).",none,2.1.3 Task and Monitor Resources (P&D),"1.4.5 Manage Sensors
1.4.13 Generate Sensor Tasking
1.4.21 Assess Sensor Performance
1.4.24 Recommend Unattended Ground Sensor (UGS) Emplacement",(gap),None
35,3.1.3.2,Sensor Cataloging,"Sensor Cataloging allows clients to request information about sensors and servers, add or delete sensor information from an external catalog,  subscribe or unsubscribe to a sensor status, or add, modify, or delete sensor metadata from a sensor instance.","Sensor Cataloging allows clients to request information about sensors and servers, add or delete sensor information from an external catalog,  subscribe or unsubscribe to a sensor status, or add, modify, or delete sensor metadata from a sensor instance.    The client can receive metadata documents describing a server's abilities, search for sensors instances on a registry server instance, and receive sensor instance descriptions from the server for either one or multiple sensors.       

The client can also insert sensor metadata into the registry server,  update sensor metadata on the registry server, or remove sensor metadata from the registry server.   In addition, the client can establish or remove a link between a sensor registry entry instance and an external OGC catalog.   Finally the client can get the sensor status, insert a sensor status, subscribe to a sensor status, or cancel a sensor status subscription.              

[This service is supported by the OGC SWE SIR discussion paper.]",2.1.3 Task and Monitor Resources (P&D),"1.4.11  Maintain Sensor Configurations
1.4.12   Characterize Sensors Capabilities and Limitations
3.5.19  Display and Monitor Sensor Assets",(gap),None
41,3.1.3.1,Collection Requirements Planning,Collection Requirements Planning provides editing and visibility into the evolution of tasking and collection-related artifacts,"Collection Requirements Planning aggregates information such as asset tasking lists as they mature into ISR Synch Matrix and Proposed Collection Plans.    Using this service collection requirements managers can view, add, delete, or update requirements for a specific collection.  It also allows them to view the mapping of collection requirement to collection task.    It also allows tasking managers to view, add, delete, or update tasking for a specific sensor.

Both tasking requirements managers and task managers can view mapping of the collection tasks to collection requirements, collection results, and status of collection tasks.",2.1.3 Task and Monitor Resources (P&D),"1.4.3 Identify Current Platform and Sensor Tasking
1.4.7   Generate National Intelligence, Surveillance, and Reconnaissance (ISR) Sensor Tasking
1.4.10   Generate Sensor Coverage",(gap),None
40,3.1.3,Planning,The family of services that support the Intelligence Planning Process.,"Operation planning occurs in a networked, collaborative environment, which requires iterative dialogue among senior leaders, concurrent and parallel plan development, and collaboration across multiple planning levels. The focus is on developing plans that contain a variety of viable, embedded options (branches and sequels).  This facilitates responsive plan development and modification, resulting in “living” plans (i.e., the systematic, on-demand, creation and revision of executable plans, with up-to-date options, as circumstances require). This type of adaptive planning also promotes greater involvement with other US agencies and multinational partners.",family,family,family,"There exist various services from NRO that give insight into current taskings.  This supports the planning process, but is not a direct planning tool - rather is input to the planning tool"
333,3.1.1.2,RFI Management,"The service to create, deconflict, monitor, and disseminate Intelligence Requests for Information (RFI)","An RFI is a specific time-sensitive ad hoc requirement for information or intelligence
products, and is distinct from standing requirements or scheduled intelligence production. An RFI can
be initiated at any level of command, and will be validated in accordance with the combatant command’s
procedures. An RFI will lead to either a production requirement if the request can be answered with
information on hand or a collection requirement if the request demands collection of new information.
Collection planning and requirement management are major activities during planning and direction.",6.2 Enterprise Services (ES),"8.7.49 Submit Information Requirements
8.7.87 Validate Request for Information (RFI)
8.7.101 Track Requests for Information (RFIs)
8.7.102 Respond or Reply to Request for Information (RFI)
8.7.103 Receive Request for Information (RFI)
8.7.113 Receive Requests for Information (RFI) Results",7.07.01 Intelligence Requirements Management,None
332,3.1.1.1,PIR Management,"PIR Management services support management of the Priority Intelligence Requirement (PIR) process .  Supports: 
1. Deriving PIRs from CCIRs
2. Consolidating and recommending PIR nominations
3. Deriving Information Requirements from Intelligence Requirements and PIRs
4. Identifying EEIs which will answer PIRs","PIR Management services assist a commander in deriving Priority Intelligence Requirements (PIR) to support a mission, tracking, updating, consolidating existing PIRs, and turning those PIRs into specific requirements that can be used for intelligence collection planning.  The PIR Management service works with the Collection Requirements Planning service to task and plan collection activities.",6.2 Enterprise Services (ES),"8.7.49 Submit Information Requirements
8.7.87 Validate Request for Information (RFI)
8.7.101 Track Requests for Information (RFIs)
8.7.102 Respond or Reply to Request for Information (RFI)
8.7.103 Receive Request for Information (RFI)
8.7.113 Receive Requests for Information (RFI) Results
14.1.17 Evaluate Collection Results
14.1.18 Evaluate Intelligence Collection, Products, Reporting
14.1.19 Identify, Prioritize and Validate Intelligence Requirements",7.02.01 Collection Requirements Management,None
331,3.1.1,Define and Prioritize Requirements,"The family of services to define, document, and prioritize intelligence requirements",N/A,family,family,family,family
32,3.1,Planning and Direction,"The Planning & Direction line includes services that provide the ability to synchronize and integrate the activities of collection, processing, exploitation, analysis and dissemination resources to meet BA information requirements.","The Planning & Direction line includes services that provide the ability to synchronize and integrate the activities of collection, processing, exploitation, analysis and dissemination resources to meet BA information requirements. This includes the following sub-areas: Define and Prioritize Requirements  – The ability to translate national through tactical objectives and needs into specific information and operational requirements.  Develop Strategies  – The ability to determine the best approach to collect, process, exploit, analyze, and disseminate data and information to address requirements and predict outcomes. Task and Monitor Resources  – The ability to task, track, direct, and adjust BA operations and their associated resources to fulfill requirements. Evaluation  – The ability to assess the results of BA operations and products to ensure that user requirements are being met. (Ref. Joint Service Areas, JCA 2010 Refinement, 8 April 2011)
Families in this line: ASSET MANAGEMENT and PLANNING and REPORTING.",Line,Line,Line,Line
1,0,DI2E,The DI2E SvcV-4 documents services that are needed for the DI2E to achieve the desired level of service reuse and interoperability .,"The services that exist within the Defense Intelligence Enterprise that are governed by the DI2E.  The services shall be developed in a service oriented manner, be registered and accessible in the Enterprise Registry, and be tested and certified for reuse.",All Layers,All Layers,All Layers,All Layers
161,1,Infrastructure Services,The functions/services that support the Enterprise and don't usually have a direct relationship to the mission or business processes.,"Infrastructure Services are fundamental to the DI2E.  This consistent set of services across the DI2E is foundational to future SOA-based enterprise services.     

Specific service lines include:

   • Enterprise Management
   • Web Service Security
   • Web Service Discovery
   • Messaging, and 
   • Orchestration",Layer,Layer,Layer,Layer
202,1.4.2.2,Protocol Mediation,Protocol Mediation provides the ability to manage service communication format between sender and receiver.,The Protocol Mediation service provides transformation and processing of service communication between sending and receiving services.  One example is mediating e-mail messages between POP to IMAP formats.    Another example is chat mediation between IRC or XMPP formats. Mediation between SOAP and REST is another example.,6.2.3.8 Enterprise Application Software,8.9.5 Integrate Enterprise Applications,6.05.04 Orchestration Services,"Specifications include all of the protocols that need to  be mediated,  BPEL is not one of them (see column H)."
201,1.4.2.1,Execution Engine,"An execution engine takes the definition of a service orchestration (e.g., BPEL) and executes the process","Service orchestrations are only definitions of how services should be executed in sequence to complete a given business process. Execution of the orchestration requires some form of engine that will run the orchestrated process and return a result to the user. Most existing execution engines execute processes defined in Business Process Execution Language (BPEL). Other possibilities are available, including newer version of Business  Process Modeling Notation that are executable; mashup frameworks, and similar technologies",6.2.3.8 Enterprise Application Software,8.9.5 Integrate Enterprise Applications,6.05.04 Orchestration Services,"Various open source tools exist.  Also, such engines are generally included in ESBs.  Google ""Open Source Orchestration  Engine"" to find lists of tools.  I would recommend a BPMN tool vice a BPEL tool, as BPEL is really limited to SOAP services, and it is the process model that is more important for interoperability (across engines) than the BPEL scripts."
200,1.4.2,Orchestration Execution,Orchestration execution performs the ordered calling of services as designed in service orchestration models (see orchestration modeling service).,"Orchestration execution makes in-sequence calls to services, holds intermediate inputs/outputs, handles exceptions, monitors execution status, and provides an interface for user presentation. 

Common orchestration execution features include: W3C XHTML/CSS conformance, templating, class autoloading, object based design, nested groups with multiple assigned permissions, form design tools including help and error messages, labels, validation rules, inherited authorization, and macros support.",family,family,family,family
199,1.4.1.2,Optimization,Optimization services provide analysis of the possible orchestrations and offer recommended alternatives to ensure the user's needs are best met from among the available services and orchestrations.,"For any given business process, there may be several possible orchestrations to choose from. These orchestrations may differ only in the instances of specific services that they use (e.g., the same service offered at different endpoints) or they may perform the same process using completely different service offerings. In a dynamic network where connectivity and QoS will vary widely over time, selecting the best orchestration from among the available options will be a complex task.

Additionally, in an environment where new services or new service instances may appear on the network frequently, it may be necessary to frequently update the orchestration to best meet the current situation.",6.2.3.8 Enterprise Application Software,8.9.5 Integrate Enterprise Applications,6.05.04 Orchestration Services,"This looks like a combination of auto-discovery and real-time continuous modeling.  I don't believe anything exists for this yet, especially across a WAN.  This is more in the realm of research today."
